timestamp,symbol,title,content,source,time,diff
"2026-01-18T02:38:25.958223","NEWS","Context Therapeutics Announces Inducement Grants Under Nasdaq Listing Rule 5635(c)(4)","PHILADELPHIA, Jan. 16, 2026 (GLOBE NEWSWIRE) -- Context Therapeutics Inc. (“Context” or the “Company”) (Nasdaq: CNTX), a clinical-stage biopharmaceutical company advancing T cell engaging bispecific antibodies for solid tumors, today announced that Context ha…","GlobeNewswire",1768746137436,1
"2026-01-18T00:12:31.913809","NEWS","President Trump Unveils The Great Healthcare Plan to Lower Costs and Deliver Money Directly to the People","President Donald J. Trump’s Great Healthcare Plan is a broad healthcare initiative that will slash prescription drug prices, reduce insurance premiums, hold big insurance companies accountable, and maximize price transparency in the American healthcare system…","Freerepublic.com",1768746137436,1
"2026-01-17T18:37:24.853365","NEWS","Quote of the day by George Clooney: 'I can’t change policy but I can make things louder...'","George Clooney’s quote of the day, “I can’t change policy but I can make things louder,” reflects his belief in using public visibility to draw attention to important but overlooked issues. Made during Donald Trump’s first term while promoting the Netflix doc…","The Times of India",1768746137436,1
"2026-01-17T20:58:43.706307","NEWS","\"I wouldn’t do Glastonbury because of the politics of the people who run it.\" Brian May rules out Queen performing at Glastonbury festival for the foreseeable future","Queen at Glasto? Don't hold your breath","Louder",1768746137436,1
"2026-01-18T16:16:17.758652","NEWS","Crypto market steady at $3.22 trillion as Bitcoin consolidates near $95,300","Crypto markets stayed stable in mid-January with total capitalization at $3.22 trillion. Bitcoin consolidated near $95,000, while select altcoins gained. Analysts see a bullish structure, improving macro conditions, rising institutional participation, and pot…","The Times of India",1768746137436,1
"2026-01-18T00:43:02.977391","NEWS","ALVO Investor News: If You Have Suffered Losses in Alvotech (NASDAQ: ALVO), You Are Encouraged to Contact The Rosen Law Firm About Your Rights","NEW YORK, Jan. 16, 2026 (GLOBE NEWSWIRE) -- WHY:\u{a0}Rosen Law Firm, a global investor rights law firm, continues to investigate potential securities claims on behalf of shareholders of Alvotech (NASDAQ: ALVO) resulting from allegations that Alvotech may have iss…","GlobeNewswire",1768746137436,1
"2026-01-18T03:27:05.425453","NEWS","Nvidia says RTX 50 Series GPU shipments continue, while reportedly taking losses during memory shortage","Nvidia claims that the internet is full of misinformation about RTX 50 series graphics cards. The manufacturer has clarified that no GPUs face retirement because of higher memory prices. Also, other sources reveal that Nvidia is taking measures to insulate Bl…","Notebookcheck.net",1768746137436,1
"2026-01-18T19:03:59.819739","NEWS","Heiress sues big banks for $12B, claims dad looted $350M trust in offshore scheme tied to Ghislaine Maxwell siblings, Epstein probe","An American heiress has dropped a bombshell $12 billion lawsuit on some of the world’s biggest banks – accusing them of helping her late father loot her trust fund and stash dirty money offshore for an international rogues’ gallery that allegedly included mem…","New York Post",1768746137436,1
"2026-01-18T01:13:24.208014","NEWS","DEADLINE ALERT: Faruqi & Faruqi, LLP Investigates Claims on Behalf of Investors of Vistagen Therapeutics","Faruqi & Faruqi, LLP Securities Litigation Partner\u{a0}James (Josh) Wilson Encourages Investors Who Suffered In Vistagen To Contact Him Directly To Discuss Their Options","GlobeNewswire",1768746137436,1
"2026-01-17T18:31:20.227739","NEWS","Elicio Therapeutics Reports Inducement Grants","BOSTON, Jan. 16, 2026 (GLOBE NEWSWIRE) -- Elicio Therapeutics, Inc. (Nasdaq: ELTX, “Elicio” or the “Company”), a clinical-stage biotechnology company developing a pipeline of novel immunotherapies for the treatment of cancer, today announced that on January 1…","GlobeNewswire",1768746137436,1
